"date","mob.bus","mob.full","mob.bus0"
2020-05-12,0.5475,0.735,0.436666666666667
2020-05-13,0.5525,0.768333333333333,0.443333333333333
2020-05-14,0.56,0.76,0.446666666666667
2020-05-15,0.5675,0.798333333333333,0.456666666666667
2020-05-16,0.635,0.875,0.553333333333333
2020-05-17,0.6025,0.835,0.536666666666667
2020-05-18,0.5575,0.741666666666667,0.463333333333333
2020-05-19,0.575,0.75,0.466666666666667
2020-05-20,0.5775,0.758333333333333,0.466666666666667
2020-05-21,0.595,0.796666666666667,0.48
2020-05-22,0.58,0.751666666666667,0.47
2020-05-23,0.58,0.698333333333333,0.503333333333333
2020-05-24,0.645,0.886666666666667,0.573333333333333
2020-05-25,0.4825,0.751666666666667,0.373333333333333
2020-05-26,0.6,0.816666666666667,0.493333333333333
2020-05-27,0.605,0.805,0.496666666666667
2020-05-28,0.595,0.77,0.486666666666667
2020-05-29,0.585,0.776666666666667,0.476666666666667
2020-05-30,0.6975,0.918333333333333,0.616666666666667
2020-05-31,0.675,0.925,0.613333333333333
2020-06-01,0.6125,0.803333333333333,0.516666666666667
2020-06-02,0.59,0.765,0.49
2020-06-03,0.5775,0.748333333333333,0.476666666666667
2020-06-04,0.62,0.818333333333333,0.506666666666667
2020-06-05,0.5825,0.725,0.48
2020-06-06,0.7,0.888333333333333,0.623333333333333
2020-06-07,0.7025,0.97,0.636666666666667
2020-06-08,0.64,0.845,0.54
2020-06-09,0.645,0.851666666666667,0.536666666666667
2020-06-10,0.65,0.848333333333333,0.546666666666667
2020-06-11,0.61,0.763333333333333,0.51
2020-06-12,0.655,0.865,0.546666666666667
2020-06-13,0.7525,0.975,0.676666666666667
2020-06-14,0.7175,0.966666666666667,0.656666666666667
2020-06-15,0.645,0.826666666666667,0.556666666666667
2020-06-16,0.6725,0.871666666666667,0.566666666666667
2020-06-17,0.6525,0.831666666666667,0.553333333333333
2020-06-18,0.66,0.83,0.55
2020-06-19,0.6675,0.863333333333333,0.563333333333333
2020-06-20,0.7625,0.956666666666667,0.683333333333333
2020-06-21,0.725,0.97,0.656666666666667
2020-06-22,0.66,0.848333333333333,0.58
2020-06-23,0.7,0.886666666666667,0.6
2020-06-24,0.685,0.883333333333333,0.59
2020-06-25,0.7,0.893333333333333,0.6
2020-06-26,0.69,0.893333333333333,0.596666666666667
2020-06-27,0.7325,0.885,0.67
2020-06-28,0.745,0.961666666666667,0.693333333333333
2020-06-29,0.6975,0.888333333333333,0.62
2020-06-30,0.705,0.851666666666667,0.613333333333333
2020-07-01,0.6975,0.853333333333333,0.603333333333333
2020-07-02,0.755,0.941666666666667,0.646666666666667
2020-07-03,0.6775,0.851666666666667,0.556666666666667
2020-07-04,0.69,0.951666666666667,0.62
2020-07-05,0.705,0.94,0.663333333333333
2020-07-06,0.6525,0.806666666666667,0.576666666666667
2020-07-07,0.7175,0.9,0.616666666666667
2020-07-08,0.6975,0.841666666666667,0.61
2020-07-09,0.7275,0.916666666666667,0.623333333333333
2020-07-10,0.575,0.69,0.506666666666667
2020-07-11,0.7875,0.92,0.716666666666667
2020-07-12,0.775,1.03333333333333,0.723333333333333
2020-07-13,0.715,0.895,0.63
2020-07-14,0.7275,0.92,0.633333333333333
2020-07-15,0.725,0.925,0.64
2020-07-16,0.7325,0.926666666666667,0.64
2020-07-17,0.6925,0.855,0.613333333333333
2020-07-18,0.7875,0.991666666666667,0.74
2020-07-19,0.7425,0.97,0.703333333333333
2020-07-20,0.6775,0.846666666666667,0.61
2020-07-21,0.7125,0.891666666666667,0.63
2020-07-22,0.6825,0.828333333333333,0.61
2020-07-23,0.715,0.861666666666667,0.626666666666667
2020-07-24,0.675,0.811666666666667,0.593333333333333
2020-07-25,0.8025,1.01,0.756666666666667
2020-07-26,0.755,0.983333333333333,0.716666666666667
2020-07-27,0.6925,0.863333333333333,0.623333333333333
2020-07-28,0.705,0.868333333333333,0.626666666666667
2020-07-29,0.71,0.891666666666667,0.633333333333333
2020-07-30,0.71,0.883333333333333,0.623333333333333
2020-07-31,0.6975,0.851666666666667,0.616666666666667
2020-08-01,0.805,1.00833333333333,0.756666666666667
2020-08-02,0.745,0.918333333333333,0.7
